Para la k 5 la media cuadrada de los errores es: 0.736773
Candidatos según LSH constantes k 5 r 1 t 0.1
 documentos 0 1 jaccard sm 0.41 jaccard directo 0.247655 error relativo 0.655528
 documentos 0 2 jaccard sm 0.47 jaccard directo 0.296724 error relativo 0.583959
 documentos 0 3 jaccard sm 0.48 jaccard directo 0.257426 error relativo 0.864612
 documentos 0 4 jaccard sm 0.58 jaccard directo 0.346774 error relativo 0.672556
 documentos 0 5 jaccard sm 0.55 jaccard directo 0.301775 error relativo 0.822546
 documentos 0 6 jaccard sm 0.47 jaccard directo 0.251397 error relativo 0.869552
 documentos 0 7 jaccard sm 0.54 jaccard directo 0.290188 error relativo 0.86086
 documentos 0 8 jaccard sm 0.47 jaccard directo 0.299401 error relativo 0.569798
 documentos 0 9 jaccard sm 0.52 jaccard directo 0.30137 error relativo 0.725452
 documentos 0 10 jaccard sm 0.47 jaccard directo 0.286267 error relativo 0.641822
 documentos 0 11 jaccard sm 0.56 jaccard directo 0.304264 error relativo 0.840507
 documentos 0 12 jaccard sm 0.5 jaccard directo 0.29703 error relativo 0.683331
 documentos 0 13 jaccard sm 0.52 jaccard directo 0.287379 error relativo 0.809457
 documentos 0 14 jaccard sm 0.5 jaccard directo 0.257485 error relativo 0.941857
 documentos 0 15 jaccard sm 0.47 jaccard directo 0.305389 error relativo 0.539018
 documentos 0 16 jaccard sm 0.46 jaccard directo 0.319767 error relativo 0.438544
 documentos 0 17 jaccard sm 0.46 jaccard directo 0.311765 error relativo 0.47547
 documentos 0 18 jaccard sm 0.51 jaccard directo 0.35 error relativo 0.457142
 documentos 0 19 jaccard sm 0.47 jaccard directo 0.278884 error relativo 0.685283
 documentos 1 2 jaccard sm 0.5 jaccard directo 0.334646 error relativo 0.494116
 documentos 1 3 jaccard sm 0.45 jaccard directo 0.311475 error relativo 0.444735
 documentos 1 4 jaccard sm 0.44 jaccard directo 0.306796 error relativo 0.434176
 documentos 1 5 jaccard sm 0.43 jaccard directo 0.28876 error relativo 0.489126
 documentos 1 6 jaccard sm 0.65 jaccard directo 0.373225 error relativo 0.741574
 documentos 1 7 jaccard sm 0.51 jaccard directo 0.300626 error relativo 0.696456
 documentos 1 8 jaccard sm 0.47 jaccard directo 0.322581 error relativo 0.456999
 documentos 1 9 jaccard sm 0.53 jaccard directo 0.318898 error relativo 0.661973
 documentos 1 10 jaccard sm 0.53 jaccard directo 0.26177 error relativo 1.02467
 documentos 1 11 jaccard sm 0.57 jaccard directo 0.260223 error relativo 1.19042
 documentos 1 12 jaccard sm 0.55 jaccard directo 0.28655 error relativo 0.919385
 documentos 1 13 jaccard sm 0.49 jaccard directo 0.302144 error relativo 0.62174
 documentos 1 14 jaccard sm 0.54 jaccard directo 0.309278 error relativo 0.745998
